Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
Palm thrips	Thrips palmi	Anthropogenic	NA (2019)	Quarantine plant pest; Finland’s National Strategy on Invasive Alien Species (GR 2012)	
	Thrips dilatatus	Stable population	DD (2019)		
	Thrips discolor	Stable population	DD (2019)		
	Thrips flavus	Stable population	LC (2019)		
	Thrips fuscipennis	Stable population	LC (2019)		
	Thrips klapaleki	Stable population	DD (2019)		
	Thrips major	Stable population	LC (2019)		
	Thrips menyanthidis	Stable population	DD (2019)		
	Thrips nigropilosus	Stable population	LC (2019)		
	Thrips pini	Stable population	LC (2019)		
	Thrips praetermissus	Stable population	DD (2019)		
	Thrips robustus	Stable population	NT (2019)	Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
	Thrips sambuci	Stable population	DD (2019)		
	Thrips tabaci	Stable population	LC (2019)		
	Thrips trehernei	Stable population	LC (2019)		Thrips hukkineni Priesner, 1937
	Thrips urticae	Stable population	DD (2019)		
	Thrips validus	Stable population	LC (2019)		
	Thrips viminalis	Stable population	LC (2019)		
	Thrips vulgatissimus	Stable population	LC (2019)		
	Thrips physapus	Stable population	LC (2019)		
	Thrips alni	Stable population	LC (2019)		
	Thrips angusticeps	Stable population	LC (2019)		Thrips paucisetosus Priesner, 1927
	Thrips atratus	Stable population	LC (2019)		
	Thrips brevicornis		DD (2019)		
	Thrips calcaratus	Stable population	LC (2019)		
	Thrips conferticornis	Stable population	LC (2019)		
	Thrips albopilosus	Stable population	DD (2019)		
	Iridothrips iridis	Stable population	DD (2019)		
	Bolacothrips jordani	Stable population	NT (2019)		
	Baliothrips dispar	Stable population	LC (2019)		
	Firmothrips firmus	Stable population	LC (2019)		
